timestamp,Temperature,Relative Humidity ,Wind Speed,Wind Direction,Basel Cloud Cover Total,Shortwave Radiation,Soil Temperature
20131128T0000,-2.3894715,73,1.484318,284.03625,0,0,-0.72998047
20131128T0100,-2.6094716,75,0.35999998,180,3,0,-1.0799866
20131128T0200,-2.5394714,75,2.6208394,164.0546,3,0,-1.3800049
20131128T0300,-2.0994716,71,3.671294,191.30994,3,0,-1.6399841
20131128T0400,-2.0694714,68,4.32,180,1.8000001,0,-1.8500061
20131128T0500,-3.1594715,71,2.52,180,29,0,-1.7399902
20131128T0600,-3.2594714,71,4.452954,165.96376,0,0,-1.8899841
20131128T0700,-3.3294713,70,3.7585104,163.30075,0.6,0,-2.019989
20131128T0800,-3.2894714,69,2.5959969,123.69006,0.90000004,0,-2.119995
20131128T0900,-2.3894715,66,2.6208394,105.9454,0,70.31,-1.6499939
20131128T1000,-1.0294713,60,3.7585104,106.69924,2,189.56999,-0.42999268
20131128T1100,0.33052868,53,1.2979984,33.690063,71,287.47,1.2200012
20131128T1200,1.4105287,49,4.6800003,337.38013,100,323.96,3.0200195
20131128T1300,2.4805286,47,6.12,331.92752,100,327.52,4.51001
20131128T1400,3.2805285,46,8.534353,332.35403,100,259.88,5.350006
20131128T1500,3.3205285,46,8.39657,329.03625,100,142.4,5.4100037
20131128T1600,3.1905286,47,7.42159,320.90616,100,74.76,5.119995
20131128T1700,2.9405286,49,5.8603754,317.48956,100,15.13,4.580017
20131128T1800,2.7505286,51,5.495161,328.39252,100,0,4.119995
20131128T1900,2.5005286,54,5.1919937,326.30994,100,0,3.7799988
20131128T2000,2.0805285,57,4.8965297,323.97263,100,0,3.5
20131128T2100,1.8405286,59,4.3349743,318.36646,100,0,3.2700195
20131128T2200,1.6305287,62,4.5820518,315,100,0,3.0700073
20131128T2300,1.4805287,63,4.39436,304.99203,100,0,2.9200134
20131129T0000,1.4505286,65,3.219938,296.56506,100,0,2.8099976
20131129T0100,1.4605286,65,2.7416782,293.1986,100,0,2.7400208
20131129T0200,0.9505287,69,2.2768397,288.43497,23,0,2.350006
20131129T0300,0.80052865,71,2.1897945,279.46234,100,0,2.0100098
20131129T0400,0.43052867,74,2.6208394,285.9454,38,0,1.7799988
20131129T0500,0.22052866,76,3.0758414,249.44395,100,0,0.44000244
20131129T0600,0.38052866,75,3.096837,234.46233,100,0,0.8300171
20131129T0700,-0.23947135,79,4.6938257,212.47119,4,0,0.64001465
20131129T0800,-0.59947133,81,5.00128,210.25644,0.90000004,0,0.32000732
20131129T0900,0.30052868,77,4.0249224,206.56505,0.90000004,68.53,0.58999634
20131129T1000,1.7705287,72,1.8,233.1301,0.90000004,197.58,1.7600098
20131129T1100,2.9005284,68,2.5959969,236.30994,1.8000001,291.91998,3.3000183
20131129T1200,4.1305285,63,3.563818,225,6.6000004,349.77,4.880005
20131129T1300,5.2205286,61,4.896529,252.89728,12.6,363.12,6.25
20131129T1400,6.2805285,60,7.5599995,270,21,331.08,7.200012
20131129T1500,6.7005286,61,15.03835,281.04095,30.000002,255.43,7.580017
20131129T1600,5.8105288,69,20.188908,266.93353,85,142.4,7.220001
20131129T1700,5.0705285,74,21.897945,260.5377,100,24.92,6.360016
20131129T1800,4.7605286,76,22.702845,255.30269,100,0,5.720001
20131129T1900,4.6405287,76,24.735432,248.66315,100,0,5.2700195
20131129T2000,4.8305287,74,25.944988,240.9454,100,0,5.0500183
20131129T2100,5.1105285,75,27.381306,241.75027,100,0,5
20131129T2200,5.2305284,76,30.918108,242.24146,100,0,5
20131129T2300,5.4205284,75,34.47176,245.30844,100,0,5.0500183
20131130T0000,5.2205286,77,38.383495,246.8014,100,0,5.110016
20131130T0100,5.2005286,77,39.777966,244.82648,100,0,5.100006
20131130T0200,4.6705284,78,39.33072,246.2505,100,0,5.01001
20131130T0300,4.3605285,79,34.68166,260.4399,100,0,4.860016
20131130T0400,4.1205287,88,26.7565,293.80597,100,0,4.7700195
20131130T0500,2.8805285,86,24.648829,276.70984,100,0,3.899994
20131130T0600,2.5505285,87,17.873556,279.27258,100,0,3.730011
20131130T0700,2.8305285,85,10.464798,266.0548,100,0,3.630005
20131130T0800,2.2405286,89,6.8399997,270,34,0,3.2000122
20131130T0900,2.9005284,87,3.396233,327.99463,36,62.3,3.1700134
20131130T1000,3.2005286,86,8.12197,12.804245,97,192.23999,3.9599915
20131130T1100,4.3905287,79,8.759178,9.462311,100,282.13,5.100006
20131130T1200,5.5205283,69,7.172949,17.525558,0,338.19998,6.3900146
20131130T1300,6.1905284,64,8.654986,16.927505,0,342.65,7.4400024
20131130T1400,6.4905286,65,13.493999,9.211014,10,313.28,8.059998
20131130T1500,6.2605286,68,13.708391,13.67131,22,244.75,8.080017
20131130T1600,5.8405285,68,12.015589,8.615646,0,138.84,7.5200195
20131130T1700,3.8805285,85,11.901798,3.468216,0,21.36,6.3000183
20131130T1800,2.5605285,86,9.290511,35.53766,0,0,5.080017
20131130T1900,1.6905286,80,4.510787,61.38954,0,0,4.0899963
20131130T2000,1.0305287,79,2.968636,75.96376,2,0,3.2799988
20131130T2100,0.7005287,79,2.0991426,120.96376,3,0,2.619995
20131130T2200,0.42052865,79,3.096837,144.46231,5,0,2.0899963
20131130T2300,0.25052866,80,3.096837,144.46231,6,0,1.6600037
20131201T0000,0.050528657,80,3.396233,122.00538,2,0,1.2799988
20131201T0100,-0.44947132,82,2.9024127,119.74488,3,0,0.95999146
20131201T0200,-0.9194713,85,1.4399999,180,3,0,0.6799927
20131201T0300,-1.1994714,87,2.0364676,225,0,0,0.3999939
20131201T0400,-1.2994714,88,1.5273507,225,3,0,0.16000366
20131201T0500,-0.14947134,94,1.484318,284.03625,100,0,1.6100159
20131201T0600,-0.21947134,94,0.5091169,135,100,0,1.7200012
20131201T0700,-0.28947133,94,1.4399999,89.99999,100,0,1.730011
20131201T0800,-0.7494713,93,2.968636,345.96375,100,0,1.6600037
20131201T0900,-0.87947136,92,5.315336,331.69925,100,35.6,1.8000183
20131201T1000,-0.57947135,91,4.0249224,333.43497,100,105.909996,2.2799988
